web-scraper-order,web-scraper-start-url,products,products-href,product,desc,image-src,price,Detai1lDeal,Detail2Deal
"1660452564-69","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Harpic Fresh Power Marine Splash Toilet Cleaner 700mL on special","https://shop.coles.com.au/a/national/product/harpic-fresh-power-toilet-cleaner-marine-splash","Harpic","Fresh Power Marine Splash Toilet Cleaner","/wcsstore/Coles-CAS/images/3/0/3/3035045.jpg","$
									3
									.00","$0.43 per 100mL","700mL"
"1660452567-70","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Finish Quantum Ultimate Pro Lemon Dishwash Tablets 32 pack on special","https://shop.coles.com.au/a/national/product/finish-dishwash-quantum-ultimate-pro-lemon-3679150p","Finish","Quantum Ultimate Pro Lemon Dishwash Tablets","/wcsstore/Coles-CAS/images/3/6/7/3679150.jpg","$
									18
									.00","$0.56 per 1Ea","32 pack"
"1660452615-90","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Harpic Fresh Power6 Toilet Cleaner Marine Splash 39g on special","https://shop.coles.com.au/a/national/product/harpic-fresh-power-6-itb-toilet-cleaner-marine-splash","Harpic","Fresh Power6 Toilet Cleaner Marine Splash","/wcsstore/Coles-CAS/images/3/0/3/3035023.jpg","$
									3
									.00","$7.69 per 100G","39g"
"1660452559-67","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Kleenex Aloe Vera Extra Care Pocket Tissue 6 pack on special","https://shop.coles.com.au/a/national/product/kleenex-tissue-extra-care-pocket-pack-aloe-vera","Kleenex","Aloe Vera Extra Care Pocket Tissue","/wcsstore/Coles-CAS/images/1/3/0/1307188.jpg","$
									2
									.80","$5.19 per 100Ea","6 pack"
"1660452555-65","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Morning Fresh Botanicals Plum & Cherry Blossom Dishwashing Liquid 350mL on special","https://shop.coles.com.au/a/national/product/morning-fresh-botanicals-dishwash-plum-cherry","Morning Fresh","Botanicals Plum & Cherry Blossom Dishwashing Liquid","/wcsstore/Coles-CAS/images/3/7/4/3744310.jpg","$
									5
									.00","$1.43 per 100mL","350mL"
"1660452617-91","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Pine O Cleen Tropical Blossom Disinfectant Wipes 120 pack on special","https://shop.coles.com.au/a/national/product/pine-o-cleen-surface-wipes-tropical-blossom","Pine O Cleen","Tropical Blossom Disinfectant Wipes","/wcsstore/Coles-CAS/images/3/3/1/3314683.jpg","$
									7
									.70","$6.42 per 100Ea","120 pack"
"1660452612-89","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Harpic Fresh Power6 Toilet Cleaner Tropical Blossom 39g on special","https://shop.coles.com.au/a/national/product/harpic-fresh-power-6-itb-toilet-cleaner-tropical-blossom","Harpic","Fresh Power6 Toilet Cleaner Tropical Blossom","/wcsstore/Coles-CAS/images/3/0/3/3035012.jpg","$
									3
									.00","$7.69 per 100G","39g"
"1660452585-78","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Finish Rinse Aid 0% Dishwasher 400mL on online only special","https://shop.coles.com.au/a/national/product/finish-0-dishwasher-rinse-aid","Finish","Rinse Aid 0% Dishwasher","/wcsstore/Coles-CAS/images/3/5/1/3514194.jpg","$
									9
									.00","$2.25 per 100mL","400mL"
"1660452605-86","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Duck Toilet Fresh Disc Bleach Citrus 36mL on special","https://shop.coles.com.au/a/national/product/duck-itb-fresh-discs-citrus","Duck","Toilet Fresh Disc Bleach Citrus","/wcsstore/Coles-CAS/images/3/0/2/3026420.jpg","$
									4
									.50","$12.50 per 100mL","36mL"
"1660452547-62","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Air Wick Freesia & Jasmine Reed Diffuser 50mL on online only special","https://shop.coles.com.au/a/national/product/air-wick-reed-diffuser-freesia-jasmine","Air Wick","Freesia & Jasmine Reed Diffuser","/wcsstore/Coles-CAS/images/1/1/4/1149327.jpg","$
									11
									.00","$22.00 per 100mL","50mL"
"1660452562-68","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Morning Fresh Soft Hands Vanilla & Rose Dishwashing Liquid 350mL on special","https://shop.coles.com.au/a/national/product/morning-fresh-dishwashing-softer-hands-vanilla-rose","Morning Fresh","Soft Hands Vanilla & Rose Dishwashing Liquid","/wcsstore/Coles-CAS/images/3/2/0/3208697.jpg","$
									5
									.00","$1.43 per 100mL","350mL"
"1660452583-77","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Glen 20 Air Disinfectant Pure Fresh Water 283g on online only special","https://shop.coles.com.au/a/national/product/glen-20-air-disinfectant-pure-fresh-water","Glen 20","Air Disinfectant Pure Fresh Water","/wcsstore/Coles-CAS/images/3/7/4/3742053.jpg","$
									11
									.00","$3.89 per 100G","283g"
"1660452531-55","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Jiffy Firelighters 24 pack on special twenty five percent off","https://shop.coles.com.au/a/national/product/jiffy-firelighters","Jiffy","Firelighters","/wcsstore/Coles-CAS/images/1/1/2/112638.jpg","$
									4
									.50","$0.19 per 1Ea","24 pack"
"1660452540-59","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Finish Dishwasher Cleaner Tablets 3 pack on special","https://shop.coles.com.au/a/national/product/finish-in-wash-dishwasher-cleaner","Finish","Dishwasher Cleaner Tablets","/wcsstore/Coles-CAS/images/3/5/1/3514682.jpg","$
									5
									.00","$1.67 per 1Ea","3 pack"
"1660452569-71","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","FAB Frangipani Front & Top Loader Laundry Liquid 2L on special","https://shop.coles.com.au/a/national/product/fab-laundry-liquid-f-t-frangipani","FAB","Frangipani Front & Top Loader Laundry Liquid","/wcsstore/Coles-CAS/images/2/8/9/2899785.jpg","$
									8
									.00","$4.00 per 1L","2L"
"1660452519-50","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Cuddly Soft & Sensitive Concentrate Fabric Conditioner 2L on special","https://shop.coles.com.au/a/national/product/cuddly-fabric-softener-ultra-sensitive","Cuddly","Soft & Sensitive Concentrate Fabric Conditioner","/wcsstore/Coles-CAS/images/1/5/8/1586219.jpg","$
									7
									.50","$3.75 per 1L","2L"
"1660452581-76","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Cold Power Advanced Clean Sensitive Pure Clean Laundry Liquid 2L on special","https://shop.coles.com.au/a/national/product/cold-power-laundry-liquid-sensitive-pure-clean","Cold Power","Advanced Clean Sensitive Pure Clean Laundry Liquid","/wcsstore/Coles-CAS/images/3/7/7/3774606.jpg","$
									9
									.75","$4.88 per 1L","2L"
"1660452517-49","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Biozet Attack Regular Powder 2kg on special","https://shop.coles.com.au/a/national/product/biozet-attack-front-top-loader-laundry-powder","Biozet Attack","Regular Powder","/wcsstore/Coles-CAS/images/2/5/9/2597877.jpg","$
									11
									.00","$5.50 per 1Kg","2kg"
"1660452608-87","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Bic Atlantis Black Pens 4 pack on special twenty percent off","https://shop.coles.com.au/a/national/product/bic-atlantis-black-pens","Bic","Atlantis Black Pens","/wcsstore/Coles-CAS/images/1/8/6/1868630.jpg","$
									4
									.40","$1.10 per 1Ea","4 pack"
"1660452593-81","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Cold Power Advanced Clean Laundry Liquid 2L on special","https://shop.coles.com.au/a/national/product/cold-power-advanced-clean-laundry-liquid","Cold Power","Advanced Clean Laundry Liquid","/wcsstore/Coles-CAS/images/3/7/7/3774581.jpg","$
									9
									.75","$4.88 per 1L","2L"
"1660452598-83","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Finish Quantum Ultimate Pro Dishwashing Tablets Lemon 46 pack on online only special","https://shop.coles.com.au/a/national/product/pro-dwt-lemon-3967235p-1","Finish","Quantum Ultimate Pro Dishwashing Tablets Lemon","/wcsstore/Coles-CAS/images/3/9/6/3967235.jpg","$
									40
									.00","$0.87 per 1Ea","46 pack"
"1660452550-63","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Fairy Platinum Plus Dishwashing Tablets 42 pack on special","https://shop.coles.com.au/a/national/product/dishwashing-tablets-3967392p-1","Fairy","Platinum Plus Dishwashing Tablets","/wcsstore/Coles-CAS/images/3/9/6/3967392.jpg","$
									31
									.50","$0.75 per 1Ea","42 pack"
"1660452629-96","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Cold Power Advanced Clean Laundry Powder 2kg on special","https://shop.coles.com.au/a/national/product/cold-power-laundry-powder-advanced-clean?adId=display_SAuYs2zJqHuq_RjDJ8K_H528iFsKCgoIMzc3NDkyM1ASABoMCKCJ95cGEM6s2ugBIgIIAQ%3D%3D","Cold Power","Advanced Clean Laundry Powder","/wcsstore/Coles-CAS/images/3/7/7/3774923.jpg","$
									9
									.75","$4.88 per 1Kg","2kg"
"1660452590-80","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Morning Fresh Lemon Dishwashing Liquid 900mL on special","https://shop.coles.com.au/a/national/product/morning-fresh-dishwashing-liquid-super-concentrate-lemon-fresh","Morning Fresh","Lemon Dishwashing Liquid","/wcsstore/Coles-CAS/images/9/7/3/9735935.jpg","$
									4
									.50","$0.50 per 100mL","900mL"
"1660452536-57","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Cuddly Wild Rose Fabric Conditioner 850mL on special","https://shop.coles.com.au/a/national/product/cuddly-fabric-conditioner-wild-rose","Cuddly","Wild Rose Fabric Conditioner","/wcsstore/Coles-CAS/images/3/7/3/3738792.jpg","$
									5
									.00","$5.88 per 1L","850mL"
"1660452526-53","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Earth Choice Green Tea & Lime Dishwashing Liquid Concentrate 500mL on special","https://shop.coles.com.au/a/national/product/earth-choice-dishwashing-liquid-concentrate-green-tea-lime","Earth Choice","Green Tea & Lime Dishwashing Liquid Concentrate","/wcsstore/Coles-CAS/images/4/4/2/4429465.jpg","$
									2
									.60","$0.52 per 100mL","500mL"
"1660452627-95","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","FAB Gold Absolute Laundry Liquid 1.8L on special","https://shop.coles.com.au/a/national/product/fab-laundry-liquid-gold-absolute?adId=display_g5D8GezwpLwAW7NZGArmRy6U6JcKCgoIMzc3NDY5NFASABoMCKCJ95cGEKLf2ugBIgIIAQ%3D%3D","FAB","Gold Absolute Laundry Liquid","/wcsstore/Coles-CAS/images/3/7/7/3774694.jpg","$
									8
									.00","$4.44 per 1L","1.8L"
"1660452571-72","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Biozet Attack Regular Liquid 2L on special","https://shop.coles.com.au/a/national/product/biozet-attack-front-top-loader-liquid","Biozet Attack","Regular Liquid","/wcsstore/Coles-CAS/images/2/6/8/2688214.jpg","$
									11
									.00","$5.50 per 1L","2L"
"1660452552-64","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Cold Power Advanced Clean Laundry Powder 2kg on special","https://shop.coles.com.au/a/national/product/cold-power-laundry-powder-advanced-clean","Cold Power","Advanced Clean Laundry Powder","/wcsstore/Coles-CAS/images/3/7/7/3774923.jpg","$
									9
									.75","$4.88 per 1Kg","2kg"
"1660452622-93","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","FAB Frangipani Front & Top Loader Laundry Liquid 2L on special","https://shop.coles.com.au/a/national/product/fab-laundry-liquid-f-t-frangipani?adId=display_YD0lj0h5Ms7sdwWiZgd-zag34VYKCgoIMjg5OTc4NVASABoMCKCJ95cGENu-2-gBIgIIAQ%3D%3D","FAB","Frangipani Front & Top Loader Laundry Liquid","/wcsstore/Coles-CAS/images/2/8/9/2899785.jpg","$
									8
									.00","$4.00 per 1L","2L"
"1660452574-73","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Morning Fresh Raspberry & Crisp Apple Dishwashing Liquid 900mL on special","https://shop.coles.com.au/a/national/product/morning-fresh-dishwashing-liquid-raspberry-crisp-ap","Morning Fresh","Raspberry & Crisp Apple Dishwashing Liquid","/wcsstore/Coles-CAS/images/3/2/0/3208890.jpg","$
									4
									.50","$0.50 per 100mL","900mL"
"1660452543-60","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Vanish Preen Pre Wash Oxyaction Stain Remover 375mL on special","https://shop.coles.com.au/a/national/product/preen-oxyaction-pre-wash-trigger","Vanish","Preen Pre Wash Oxyaction Stain Remover","/wcsstore/Coles-CAS/images/9/6/4/9642460.jpg","$
									5
									.00","$13.33 per 1L","375mL"
"1660452533-56","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Vanish Gold Pro Trigger 450mL on online only special","https://shop.coles.com.au/a/national/product/vanish-gold-pro-trigger","Vanish","Gold Pro Trigger","/wcsstore/Coles-CAS/images/3/6/4/3647799.jpg","$
									8
									.00","$1.78 per 100mL","450mL"
"1660452624-94","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Cold Power Advanced Clean Laundry Liquid 2L on special","https://shop.coles.com.au/a/national/product/cold-power-advanced-clean-laundry-liquid?adId=display_i-GSdtKdId9cV1GFybrWCm82aUsKCgoIMzc3NDU4MVASABoMCKCJ95cGENCG2-gBIgIIAQ%3D%3D","Cold Power","Advanced Clean Laundry Liquid","/wcsstore/Coles-CAS/images/3/7/7/3774581.jpg","$
									9
									.75","$4.88 per 1L","2L"
"1660452528-54","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Pine O Cleen Surface Wipes Eucalyptus 120 pack on special","https://shop.coles.com.au/a/national/product/surface-wipes-eucalyptus","Pine O Cleen","Surface Wipes Eucalyptus","/wcsstore/Coles-CAS/images/4/2/6/4261491.jpg","$
									7
									.70","$0.06 per 1Ea","120 pack"
"1660452596-82","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Finish Lemon Dishwasher Cleaner 250mL on special","https://shop.coles.com.au/a/national/product/finish-dishwasher-cleaner-lemon","Finish","Lemon Dishwasher Cleaner","/wcsstore/Coles-CAS/images/7/5/5/7556017.jpg","$
									9
									.00","$3.60 per 100mL","250mL"
"1660452610-88","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Vanish Napisan Gold Oxi Action Pre-Treat Gel 1.75L on special","https://shop.coles.com.au/a/national/product/vanish-gold-oxi-action-gel","Vanish","Napisan Gold Oxi Action Pre-Treat Gel","/wcsstore/Coles-CAS/images/2/7/3/2732112.jpg","$
									10
									.00","$5.71 per 1L","1.75L"
"1660452538-58","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Morning Fresh Ultimate Lemon Dishwashing Liquid 350mL on special","https://shop.coles.com.au/a/national/product/morning-fresh-ultimate-lemon-dishwashing-liquid","Morning Fresh","Ultimate Lemon Dishwashing Liquid","/wcsstore/Coles-CAS/images/2/8/6/2861512.jpg","$
									5
									.00","$1.43 per 100mL","350mL"
"1660452578-75","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Finish Quantum Ultimate Pro Lemon Dishwash Tablets 16 pack on online only special","https://shop.coles.com.au/a/national/product/finish-dishwash-quantum-ultimate-pro-lemon-3679128p","Finish","Quantum Ultimate Pro Lemon Dishwash Tablets","/wcsstore/Coles-CAS/images/3/6/7/3679128.jpg","$
									19
									.00","$1.19 per 1Ea","16 pack"
"1660452603-85","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Duck Fresh Discs Toilet Cleaner Limited Edition 36mL on special","https://shop.coles.com.au/a/national/product/duck-fresh-discs-toilet-cleaner-limited-edition","Duck","Fresh Discs Toilet Cleaner Limited Edition","/wcsstore/Coles-CAS/images/3/2/2/3229824.jpg","$
									4
									.50","$12.50 per 100mL","36mL"
"1660452557-66","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Multix Super Strong Drawtight Garbage Bags 10 pack on special","https://shop.coles.com.au/a/national/product/multix-super-strong-drawtight-garbage-bags","Multix","Super Strong Drawtight Garbage Bags","/wcsstore/Coles-CAS/images/2/1/9/2191760.jpg","$
									3
									.55","$0.36 per 1Ea","10 pack"
"1660452576-74","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Bic Multi Purpose Lighter  on special half price","https://shop.coles.com.au/a/national/product/bic-mega-utility-lighter-bic-mega-utility-lighter","Bic","Multi Purpose Lighter","/wcsstore/Coles-CAS/images/3/6/6/3660287.jpg","$
									5
									.50","$5.50 per 1Ea","null"
"1660452545-61","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Morning Fresh Original Dishwashing Liquid 900mL on special","https://shop.coles.com.au/a/national/product/morning-fresh-dishwashing-liquid-super-concentrate-original-fresh-9736075p","Morning Fresh","Original Dishwashing Liquid","/wcsstore/Coles-CAS/images/9/7/3/9736075.jpg","$
									4
									.50","$0.50 per 100mL","900mL"
"1660452600-84","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Handee Ultra White Paper Towels 3 pack on special","https://shop.coles.com.au/a/national/product/handee-ultra-paper-towels-white-9546921p","Handee","Ultra White Paper Towels","/wcsstore/Coles-CAS/images/9/5/4/9546921.jpg","$
									4
									.00","$2.22 per 100Ea","3 pack"
"1660452620-92","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Windex Shower Cleaner Trigger Spray 750mL on special","https://shop.coles.com.au/a/national/product/windex-shower-cleaner-trigger-pack","Windex","Shower Cleaner Trigger Spray","/wcsstore/Coles-CAS/images/7/8/3/7831461.jpg","$
									4
									.70","$0.63 per 100mL","750mL"
"1660452524-52","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Bic Mega Lighter  on special half price","https://shop.coles.com.au/a/national/product/bic-u140-fluo-utility-lighter","Bic","Mega Lighter","/wcsstore/Coles-CAS/images/2/3/9/2396252.jpg","$
									4
									.25","$4.25 per 1Ea","null"
"1660452588-79","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Harpic Fresh Power Toilet Cleaner Tropical Blossom 700mL on special","https://shop.coles.com.au/a/national/product/harpic-fresh-power-toilet-cleaner-tropical-blossom","Harpic","Fresh Power Toilet Cleaner Tropical Blossom","/wcsstore/Coles-CAS/images/3/0/3/3035067.jpg","$
									3
									.00","$0.43 per 100mL","700mL"
"1660452521-51","https://shop.coles.com.au/a/national/specials/browse/household?pageNumber=1","Shower Power Regular Shower Cleaner Trigger Pack 500mL on special","https://shop.coles.com.au/a/national/product/shower-power-cleaner-trigger","Shower Power","Regular Shower Cleaner Trigger Pack","/wcsstore/Coles-CAS/images/8/4/5/8450204.jpg","$
									3
									.40","$0.68 per 100mL","500mL"
